TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1307.0000,20.2039
1306.9000,20.248
1306.8000,20.2858
1306.7000,20.3231
1306.6000,20.3602
1306.5000,20.4
1306.4000,20.4436
1306.3000,20.4818
1306.2000,20.5146
1306.1000,20.5536
1306.0000,20.5827
1305.9000,20.6229
1305.8000,20.6622
1305.7000,20.7031
1305.6000,20.7424
1305.5000,20.7778
1305.4000,20.8147
1305.3000,20.8534
1305.2000,20.8919
1305.1000,20.9325
1305.0000,20.9644
1304.9000,21.002
1304.8000,21.0414
1304.7000,21.0801
1304.6000,21.122
1304.5000,21.157
1304.4000,21.192
1304.3000,21.2285
1304.2000,21.2656
1304.1000,21.3018
1304.0000,21.3423
1303.9000,21.3774
1303.8000,21.4132
1303.7000,21.4447
1303.6000,21.4796
1303.5000,21.5182
1303.4000,21.5588
1303.3000,21.5978
1303.2000,21.6353
1303.1000,21.6702
1303.0000,21.7059
1302.9000,21.7454
1302.8000,21.7842
1302.7000,21.821
1302.6000,21.8578
1302.5000,21.8913
1302.4000,21.9271
1302.3000,21.9598
1302.2000,21.9958
1302.1000,22.0294
1302.0000,22.0651
1301.9000,22.1007
1301.8000,22.1363
1301.7000,22.1747
1301.6000,22.2075
1301.5000,22.2396
1301.4000,22.2704
1301.3000,22.3029
1301.2000,22.3382
1301.1000,22.3701
1301.0000,22.403
1300.9000,22.4332
1300.8000,22.4655
1300.7000,22.5021
1300.6000,22.5327
1300.5000,22.5692
1300.4000,22.6033
1300.3000,22.6343
1300.2000,22.6644
1300.1000,22.6951
1300.0000,22.7241
1299.9000,22.7551
1299.8000,22.7879
1299.7000,22.8172
1299.6000,22.8546
1299.5000,22.8791
1299.4000,22.9063
1299.3000,22.9382
1299.2000,22.9733
1299.1000,23.0065
1299.0000,23.0351
1298.9000,23.0646
1298.8000,23.0923
1298.7000,23.1194
1298.6000,23.1497
1298.5000,23.1787
