TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1333.5000,11.8521
1333.4000,11.9065
1333.3000,11.9613
1333.2000,12.0182
1333.1000,12.0664
1333.0000,12.1219
1332.9000,12.1796
1332.8000,12.2337
1332.7000,12.2896
1332.6000,12.3417
1332.5000,12.3959
1332.4000,12.4499
1332.3000,12.5117
1332.2000,12.5687
1332.1000,12.6263
1332.0000,12.6832
1331.9000,12.7407
1331.8000,12.7949
1331.7000,12.849
1331.6000,12.9066
1331.5000,12.9639
1331.4000,13.0223
1331.3000,13.0808
1331.2000,13.1447
1331.1000,13.204
1331.0000,13.2615
1330.9000,13.3207
1330.8000,13.3742
1330.7000,13.4331
1330.6000,13.4952
1330.5000,13.5562
1330.4000,13.6187
1330.3000,13.6749
1330.2000,13.7364
1330.1000,13.796
1330.0000,13.8582
1329.9000,13.921
1329.8000,13.9783
1329.7000,14.0339
1329.6000,14.0952
1329.5000,14.1565
1329.4000,14.217
1329.3000,14.2831
1329.2000,14.3474
1329.1000,14.4074
1329.0000,14.4713
1328.9000,14.5306
1328.8000,14.5956
1328.7000,14.6568
1328.6000,14.7211
1328.5000,14.7863
1328.4000,14.849
1328.3000,14.9104
1328.2000,14.9715
1328.1000,15.0366
1328.0000,15.0944
1327.9000,15.1608
