XYDATA,sample11.jws
449.1000,125.173
449.2000,125.177
449.3000,125.185
449.4000,125.185
449.5000,125.186
449.6000,125.189
449.7000,125.19
449.8000,125.192
449.9000,125.201
450.0000,125.194
450.1000,125.169
450.2000,125.18
450.3000,125.181
450.4000,125.18
450.5000,125.18
450.6000,125.185
450.7000,125.185
450.8000,125.185
450.9000,125.185
451.0000,125.189
451.1000,125.19
451.2000,125.189
451.3000,125.196
451.4000,125.197
451.5000,125.211
451.6000,125.213
451.7000,125.21
451.8000,125.213
451.9000,125.212
452.0000,125.218
452.1000,125.217
452.2000,125.222
452.3000,125.223
452.4000,125.225
452.5000,125.232
452.6000,125.227
452.7000,125.226
452.8000,125.228
452.9000,125.234
453.0000,125.236
453.1000,125.233
453.2000,125.231
453.3000,125.234
453.4000,125.236
453.5000,125.235
453.6000,125.238
453.7000,125.243
453.8000,125.248
453.9000,125.25
454.0000,125.253
454.1000,125.253
454.2000,125.259
454.3000,125.26
454.4000,125.268
454.5000,125.266
454.6000,125.265
